id_reservation,id_customer,credit_card,total_cost
124,124,4026982574242252,124
125,125,3567209073371912,125
126,126,3555537839051962,126
127,127,3550051185526846,127
128,128,3540074477961532,128
129,129,30132631970253,129
130,130,3571844474627019,130
131,131,374288968946250,131
132,132,560222132759611003,132
133,133,5018875039438594126,133
134,134,3551454969556287,134
135,135,4175009965945654,135
136,136,5602234677014748660,136
137,137,374288527314370,137
138,138,201693538426452,138
139,139,5048377007099646,139
140,140,6761392956754628238,140
141,141,5204781004670574,141
142,142,30443516658784,142
143,143,4405336772445962,143
144,144,5350617837904305,144
145,145,6333729522834642607,145
146,146,3560167625847994,146
147,147,67096106377551345,147
148,148,4405537120739044,148
149,149,589377661086245749,149
150,150,5641822447679912,150
151,151,501805432444103351,151
152,152,5602225200412405,152
153,153,3570818866370785,153
154,154,30085631511610,154
155,155,3581885709055821,155
156,156,36499789309020,156
157,157,3540653658081127,157
158,158,3579495877324910,158
159,159,3552782152308820,159
160,160,374288035746147,160
161,161,3583842152184432,161
162,162,5602236158518689,162
163,163,5007665997950243,163
164,164,5563285719395712,164
165,165,3566629580926430,165
166,166,6398416217346928,166
167,167,3566788643512734,167
168,168,564182620523858546,168
169,169,3547724554567585,169
170,170,4508175598991346,170
171,171,6370226455592758,171
172,172,5590476820925045,172
173,173,5100137176063996,173
174,174,4917439707363440,174
175,175,374288233680932,175
176,176,3556012610442862,176
177,177,3572311637197511,177
178,178,6331106911322438,178
179,179,4936218345691918,179
180,180,3578577227419523,180
181,181,5100130712275455,181
182,182,3576107559246203,182
183,183,3531673111510265,183
184,184,6382485331319986,184
185,185,3575199394829138,185
186,186,3576968858731835,186
187,187,6304152642875909,187
188,188,201490935097790,188
189,189,3578229247783005,189
190,190,502086326737419094,190
191,191,5602219791394923535,191
192,192,5602216473160029,192
193,193,4175006386850216,193
194,194,6304356360013787161,194
195,195,6771402555787128,195
196,196,30314233715787,196
197,197,5610871663837263,197
198,198,3548275687751686,198
199,199,564182506229334595,199
200,200,3549136913953364,200
201,201,3546241563567440,201
202,202,5002358376614649,202
203,203,3553523586461309,203
204,204,3569073344582477,204
205,205,3580674984169338,205
206,206,342619877147920,206
207,207,3541691529675494,207
208,208,6759469029174821908,208
209,209,3533262417902232,209
210,210,201914928014199,210
211,211,3575515688664958,211
212,212,3572268710388690,212
213,213,5602232455915587,213
214,214,4175000333591601,214
215,215,201670498640694,215
216,216,3550879231117370,216
217,217,3538158274513135,217
218,218,372301698834647,218
219,219,4508212940961550,219
220,220,3555496963387264,220
221,221,3569548356291554,221
222,222,3578631762610630,222
223,223,4017953000225261,223
224,224,3574318015283738,224
225,225,3562773543628933,225
226,226,677169247838988649,226
227,227,3583780358800213,227
228,228,3567529367676381,228
229,229,3541813613802095,229
230,230,6771990293589690661,230
231,231,3584269927937465,231
232,232,6388261337197146,232
233,233,5602217703894486,233
234,234,490511785459756145,234
235,235,201539244037606,235
236,236,3558775565663199,236
237,237,6331100836605464,237
238,238,374283061199873,238
239,239,3573090480887225,239
240,240,490552733012465960,240
241,241,63041703749711972,241
242,242,6762009241502259138,242
243,243,3546204121703311,243
244,244,67099838615347378,244
245,245,3582043806407912,245
246,246,633378818172382688,246
247,247,5893060261337514739,247
248,248,3556642455036005,248
249,249,374537994458080,249
250,250,6331104472349708221,250
251,251,3564589781551068,251
252,252,491169154996139567,252
253,253,5100176775655091,253
254,254,5551136994470791,254
255,255,3565714818524362,255
256,256,3568538908761965,256
257,257,6761609514603060704,257
258,258,3549241095185023,258
259,259,3583817279900001,259
260,260,5100143412867406,260
261,261,3544752996624352,261
262,262,5100130204866993,262
263,263,5893483372239103783,263
264,264,201461235960060,264
265,265,5893636990363943413,265
266,266,3545852192908218,266
267,267,5048374391630235,267
268,268,677138276063927483,268
269,269,6333333639741842,269
270,270,5610908764775404,270
271,271,3565751261477524,271
272,272,4175004995260968,272
273,273,36531376786143,273
274,274,30340596155683,274
275,275,5007666736902693,275
276,276,344163273318650,276
277,277,3569900022208092,277
278,278,3542951355773386,278
279,279,3546825069668080,279
280,280,5459483075332893,280
281,281,3582833252100320,281
282,282,67099632204172549,282
283,283,3545660188237439,283
284,284,6762055324955003642,284
285,285,6334588886084183,285
286,286,5002354037007547,286
287,287,5048373387047792,287
288,288,3533722283428265,288
289,289,337941159613867,289
290,290,201911566542192,290
291,291,676774241170685938,291
292,292,3560363157558204,292
293,293,3530037106529493,293
294,294,372301965627914,294
295,295,4936689864475109,295
296,296,3565562055266969,296
297,297,3583421429365338,297
298,298,5010121276921989,298
299,299,3560467199954386,299
300,300,30066846394042,300
301,301,5100146407120715,301
302,302,3557546697087784,302
303,303,3571302274004541,303
304,304,3561761432192559,304
305,305,3536440516704264,305
306,306,5602247745465672,306
307,307,3538742644263305,307
308,308,4026493012395645,308
309,309,3536078045166926,309
310,310,6386520786394849,310
311,311,4913710559909116,311
312,312,3583577526054107,312
313,313,3583860480263710,313
314,314,3549569686314283,314
315,315,3547934999333473,315
316,316,5007661875733322,316
317,317,4175008760705313,317
318,318,4844888057201238,318
319,319,201504417425525,319
320,320,5602255138140190,320
321,321,3564192076375788,321
322,322,349129743212968,322
323,323,3539971195758913,323
324,324,6379589540586064,324
325,325,4026511629889906,325
326,326,4913437067768525,326
327,327,490505726064407433,327
328,328,3583217335015680,328
329,329,3571877718114428,329
330,330,3565530042022738,330
331,331,3575369225760154,331
332,332,5007664259837115,332
333,333,3562097438290546,333
334,334,3585043792901032,334
335,335,5161008221234328,335
336,336,3573952241652851,336
337,337,3580537569331815,337
338,338,5007660027627911,338
339,339,30414641257420,339
340,340,30341177661214,340
341,341,5007663600504085,341
342,342,3539571124398003,342
343,343,67630647979241283,343
344,344,36156013844301,344
345,345,3528008658140579,345
346,346,5602236369781886,346
347,347,3557188152164681,347
348,348,3580987530635051,348
349,349,3549171265414491,349
350,350,5602218788075868,350
351,351,5602227315731653,351
352,352,5048378587539167,352
353,353,3564109434415528,353
354,354,3569816279907436,354
355,355,5602223787327096,355
356,356,3532775564946000,356
357,357,676780617142656366,357
358,358,5129736873547867,358
359,359,560222005253533321,359
360,360,5602232400705810,360
361,361,4162042324917,361
362,362,5100136693963175,362
363,363,337941650246746,363
364,364,30148295631163,364
365,365,4551110388624,365
366,366,4508048694255702,366
367,367,5602256358104239,367
368,368,3561101650345565,368
369,369,4175003890075547,369
370,370,4911384043877153106,370
371,371,5602259036838921,371
372,372,3584480545582654,372
373,373,201529019107049,373
374,374,371936037786551,374
375,375,374917012969492,375
376,376,3581631181817647,376
377,377,5485981673560961,377
378,378,3571365819546144,378
379,379,5602258465712425,379
380,380,6304484976137717,380
381,381,30327362932718,381
382,382,3579010008450524,382
383,383,4017950141404888,383
384,384,5602234877994539,384
385,385,201540645350317,385
386,386,201431687806426,386
387,387,3534997833122753,387
388,388,3561981617794389,388
389,389,3566285182153525,389
390,390,50189445944011456,390
391,391,5610003016613247,391
392,392,36641597243004,392
393,393,201804717868014,393
394,394,3570418694526193,394
395,395,3532845866724015,395
396,396,3580035962162341,396
397,397,201412714794447,397
398,398,3539602987099691,398
399,399,67712434292402178,399
400,400,56022425244727355,400
401,401,4905290741777481,401
402,402,6334459435571103952,402
403,403,6763349999670610,403
404,404,374283719080269,404
405,405,3558713532530290,405
406,406,3548579798321317,406
407,407,676146017105598995,407
408,408,3555410596844484,408
409,409,5048376039818775,409
410,410,3584143886354071,410
411,411,5010127128054630,411
412,412,5007663925532019,412
413,413,633110444979358103,413
414,414,374283470936295,414
415,415,676792387662241314,415
416,416,5434847189500589,416
417,417,675902971827348756,417
418,418,6333518164565059,418
419,419,6374837244107249,419
420,420,3547096245408093,420
421,421,3568709983847876,421
422,422,3588236655020976,422
423,423,6373068937755489,423
424,424,3544731724897928,424
425,425,56102517705563015,425
426,426,5100131678445926,426
427,427,4405283457930308,427
428,428,3539739425144828,428
429,429,633110910810236922,429
430,430,201507718477582,430
431,431,6304529122338349495,431
432,432,493699705641321721,432
433,433,3575194886630730,433
434,434,3581041989504050,434
435,435,5641820050683205,435
436,436,3577083796098351,436
437,437,3570863626045285,437
438,438,63042152031085035,438
439,439,5602219686797793,439
440,440,3579521836428730,440
441,441,30217425606963,441
442,442,3585160236955489,442
443,443,201470063760096,443
444,444,3579303887849480,444
445,445,5410388690715588,445
446,446,6771532027698981636,446
447,447,3584985323428599,447
448,448,3546501001943853,448
449,449,201607433736534,449
450,450,3547282221873779,450
451,451,3589835248907083,451
452,452,5108758009816284,452
453,453,589371007157439207,453
454,454,3578821242843436,454
455,455,3564967755981976,455
456,456,3551263742704399,456
457,457,63047079443352353,457
458,458,201649494255392,458
459,459,3529986449713755,459
460,460,5893548611667831818,460
461,461,3588774772490854,461
462,462,3571832954031224,462
463,463,5038461290679385900,463
464,464,3572389648852894,464
465,465,3588636890791374,465
466,466,5048375092279966,466
467,467,3573236026503806,467
468,468,6761586178085886,468
469,469,3586734624188967,469
470,470,3582134805993448,470
471,471,3577466038138921,471
472,472,5048375552412768,472
473,473,3580444459758423,473
474,474,4903482301163606,474
475,475,4905091295909775951,475
476,476,5154475632442841,476
477,477,6333281394313994,477
478,478,3552369187144550,478
479,479,3587713536940185,479
480,480,5602258314131892,480
481,481,564182227860530058,481
482,482,3528587931438850,482
483,483,6372498485248960,483
484,484,3556406659675848,484
485,485,3586505477057214,485
486,486,67093927643297105,486
487,487,502045886928078157,487
488,488,3586112602961145,488
489,489,6384513687959309,489
490,490,3533771286283011,490
491,491,3552877545695121,491
492,492,3555186929290062,492
493,493,30371357685097,493
494,494,3529751581687526,494
495,495,3543632031381344,495
496,496,3566384452975822,496
497,497,6762896260036443295,497
498,498,670902486411962996,498
499,499,3541017118977168,499
500,500,633411498175094421,500
